micros,aX,aY,aZ,gX,gY,gZ,
113594617,-36.13,-31.74,1012.21,0.50,-0.46,-1.18,
113614622,-42.97,-25.88,1002.93,0.49,0.44,-0.27,
113634627,-35.64,-34.18,1003.42,-1.92,0.21,0.14,
113654637,-37.60,-32.23,998.54,-0.18,2.40,2.27,
113674644,-41.99,-28.32,1004.39,0.15,-0.63,-0.02,
113694650,-39.55,-30.76,1005.37,-0.20,-0.37,1.66,
113714654,-44.43,-25.39,1005.37,-0.56,-0.12,-0.85,
113734663,-40.53,-32.23,1007.81,-0.75,0.15,1.92,
113754672,-37.60,-36.62,1007.81,-0.12,-0.89,0.92,
113774681,-46.39,-26.37,1004.88,0.26,-1.62,-0.61,
113794687,-36.13,-37.11,1008.30,-0.05,1.25,0.67,
113814694,-43.95,-33.20,1020.02,-0.23,-0.47,1.02,
113834703,-34.67,-26.86,1004.39,-0.98,-0.44,1.16,
113854709,-41.02,-32.71,1014.16,1.07,1.07,-0.64,
113874717,-31.74,-27.34,1008.79,1.97,-1.50,0.24,
113894724,-35.64,-38.09,1009.77,1.11,-0.92,0.87,
113914731,-33.20,-29.79,1002.44,-0.02,0.98,0.08,
113934738,-47.36,-19.04,1015.14,0.52,-1.24,-0.90,
113954749,-40.04,-23.93,998.54,2.17,-0.31,0.20,
113974759,-28.81,-27.34,1001.95,1.56,-2.72,1.82,
113994768,-29.79,-25.39,1014.16,1.11,0.21,0.87,
114014773,-43.95,-16.11,1011.23,-0.66,0.09,1.18,
114034784,-42.97,-21.97,994.14,0.85,-0.41,0.38,
114054790,-41.02,-27.83,1008.30,-0.31,1.66,0.53,
114074800,-51.76,-14.16,1000.49,-1.24,0.37,-1.02,
114094806,-34.67,-36.13,1012.70,-0.41,-0.84,2.70,
114114815,-38.57,-41.99,1012.70,0.99,0.34,1.08,
114134823,-57.13,-30.27,1013.18,-2.14,-0.14,2.21,
114154831,-36.13,-25.88,1003.91,1.34,0.78,0.03,
114174837,-43.95,-30.27,1005.86,0.90,1.21,0.21,
114194844,-33.69,-23.93,999.02,0.17,1.42,0.92,
114214849,-39.55,-26.86,1011.23,0.09,-1.42,-0.76,
114234856,-41.99,-29.30,1001.46,1.47,-0.38,0.73,
114254861,-44.92,-26.37,1005.86,0.24,0.70,-0.08,
114274869,-33.20,-33.69,1012.21,-0.47,-1.33,-0.11,
114294879,-44.92,-24.90,1007.81,1.40,0.53,-1.92,
114314884,-43.95,-21.48,1009.28,-0.47,-0.52,-0.21,
114334894,-36.13,-31.25,1009.28,-2.35,1.28,0.73,
114354900,-41.02,-29.30,1009.77,1.15,2.06,-1.31,
114374909,-31.25,-28.32,1010.25,1.71,-1.22,1.82,
114394915,-42.48,-29.30,995.12,0.61,1.15,-1.88,
114414922,-46.88,-30.76,1012.70,1.30,-0.55,-1.02,
114434933,-37.11,-43.46,1015.62,0.37,-1.04,0.31,
114454937,-37.11,-32.71,1011.72,-1.08,-0.38,-1.73,
114474943,-46.88,-19.04,1002.93,-1.11,-0.09,-1.54,
114494949,-24.41,-33.20,1008.79,1.39,1.18,0.35,
114514955,-39.06,-33.20,1002.93,-0.32,-0.46,2.03,
114534963,-34.67,-33.20,1009.28,0.78,2.96,-1.15,
114554968,-41.02,-23.93,998.54,1.95,0.56,0.44,
114574973,-29.79,-31.25,1016.11,1.04,1.50,-0.18,
114594980,-44.92,-38.57,994.14,-0.26,0.15,-0.76,
114614985,-43.95,-30.27,1004.88,0.49,-0.24,1.27,
114634992,-32.71,-25.39,999.51,1.45,1.42,0.53,
114655000,-44.43,-32.23,1017.58,-0.15,-0.08,1.10,
114675010,-44.92,-45.41,1008.79,-0.21,1.85,2.66,
114695019,-34.18,-33.20,1009.77,-0.20,-1.77,-0.11,
114715026,-44.92,-37.60,1010.25,-1.19,-2.02,0.12,
114735032,-51.76,-34.18,1003.42,-0.89,-1.39,-1.94,
114755042,-33.69,-24.41,1001.95,-0.63,-0.35,2.63,
114775051,-39.06,-30.27,1000.98,0.92,-0.44,-1.44,
114795061,-26.86,-34.67,1002.44,2.17,0.08,-0.12,
114815068,-41.99,-33.20,1014.16,-1.16,0.92,-0.67,
114835074,-49.80,-32.71,1010.74,1.04,-1.08,2.14,
114855083,-41.99,-21.48,1021.48,-0.20,-2.79,-0.90,
114875090,-37.11,-36.62,1010.25,0.78,0.06,-1.48,
114895100,-51.27,-27.83,1003.42,-1.19,0.96,0.09,
114915106,-31.74,-21.00,1007.81,1.56,0.60,2.29,
114935115,-33.20,-29.30,1008.30,-0.89,-0.38,-0.81,
114955123,-47.36,-39.55,1010.25,-0.40,0.73,-3.05,
114975127,-41.02,-31.25,1010.74,0.66,0.95,-0.69,
114995137,-37.11,-29.79,1013.18,0.66,0.44,1.48,
115015142,-38.57,-41.99,997.56,-0.84,0.76,4.00,
115035151,-41.50,-28.81,1016.11,-3.24,1.88,0.06,
115055156,-46.88,-28.32,999.02,0.78,0.41,0.70,
115075164,-42.97,-34.67,1005.86,-0.64,3.01,1.76,
115095171,-41.02,-19.53,1005.37,-0.06,-0.34,-2.98,
115115180,-42.97,-27.34,1011.23,0.75,-0.03,1.02,
115135187,-41.50,-25.88,1014.16,1.53,-0.14,1.77,
115155197,-40.04,-25.39,1009.28,0.60,-1.66,1.66,
115175208,-33.20,-17.58,1003.91,0.73,2.78,1.59,
115195218,-40.53,-26.86,1011.72,0.84,0.11,0.40,
115215229,-43.95,-31.25,1010.25,-1.97,-0.09,-0.84,
115235234,-37.60,-32.71,1016.11,-0.17,0.27,-0.93,
115255245,-31.74,-41.99,1006.84,-1.28,-0.58,-0.41,
115275249,-40.04,-41.02,1005.37,0.02,-1.15,-1.63,
115295256,-42.97,-33.69,1018.55,0.05,2.21,-1.30,
115315267,-45.41,-22.95,1017.09,1.59,0.35,2.14,
115335278,-34.18,-31.25,1002.93,-0.02,0.34,-0.87,
115355287,-49.32,-35.64,1004.88,0.79,-0.60,-1.21,
115375296,-41.50,-37.60,1018.07,-0.17,1.08,-0.03,
115395300,-43.46,-29.30,1010.74,0.03,0.70,0.00,
115415311,-45.41,-34.18,1005.86,1.08,-1.15,-2.32,
115435315,-42.48,-36.13,1001.46,-0.72,1.56,-1.16,
115455322,-44.92,-37.11,991.21,-1.21,-2.35,2.06,
115475327,-47.85,-32.71,1004.39,0.72,-2.85,0.03,
115495333,-39.55,-25.39,1009.77,-0.90,0.49,3.21,
115515343,-47.85,-24.41,1008.79,-1.74,1.28,-1.92,
115535351,-54.20,-35.64,1007.81,1.02,1.25,-0.99,
115555355,-40.04,-29.79,1005.86,-1.62,-0.27,0.96,
