micros,aX,aY,aZ,gX,gY,gZ,
7350101,33.69,-7.81,-1011.23,0.18,0.66,0.46,
7370111,38.57,-6.84,-1021.48,2.15,0.53,-3.39,
7390121,36.13,-11.72,-1008.30,1.57,-0.08,1.31,
7410127,29.79,-15.62,-1008.30,-0.87,2.20,-0.35,
7430132,20.51,-10.74,-1012.70,-0.63,-1.80,1.94,
7450143,38.09,-8.30,-1012.21,-1.15,-0.50,-2.34,
7470149,31.74,-11.72,-1030.27,1.13,-1.19,3.66,
7490154,31.74,-4.88,-1004.39,-0.93,0.20,0.46,
7510163,25.88,-16.60,-1022.95,0.64,0.05,0.34,
7530172,24.90,-17.58,-1014.65,1.36,-0.37,3.85,
7550180,21.48,-8.79,-1010.74,1.48,0.24,-2.52,
7570189,22.46,-14.16,-1021.97,-1.77,-0.47,-0.23,
7590195,32.23,-4.88,-1014.16,-1.16,-0.95,1.34,
7610205,28.32,-4.39,-1030.76,-0.02,-1.44,-2.49,
7630215,34.67,-8.30,-1004.88,0.85,0.03,0.82,
7650221,29.30,-1.46,-1014.65,-0.85,1.18,-2.41,
7670226,22.95,-9.77,-1003.91,-2.11,1.62,-0.90,
7690233,30.27,-7.32,-1016.11,1.98,1.44,1.30,
7710242,28.81,-7.32,-1008.79,1.13,0.31,-1.92,
7730249,28.32,-6.35,-1012.70,-2.43,0.70,1.74,
7750255,27.34,-1.95,-1029.79,0.24,-2.21,0.02,
7770259,30.76,-16.60,-1017.58,1.77,-2.27,-0.70,
7790270,33.20,8.79,-956.05,2.29,3.68,-2.40,
7810280,30.76,-10.25,-1039.55,-0.85,0.11,-0.95,
7830291,31.25,-9.77,-1024.41,0.02,-0.84,0.95,
7850297,32.71,-5.37,-1015.14,1.01,-0.47,-1.62,
7870304,25.39,-12.70,-1012.70,1.25,-1.31,1.45,
7890309,41.50,-15.62,-1009.77,0.34,-1.88,0.06,
7910315,30.76,-5.37,-1012.70,0.43,1.30,1.56,
7930322,23.44,-18.55,-1022.95,0.72,1.22,0.49,
7950332,35.64,-15.14,-1001.46,0.87,1.68,-1.48,
7970339,26.86,-10.74,-1009.28,0.15,-1.36,1.08,
7990349,33.69,-10.74,-1015.62,-1.80,-1.04,3.01,
8010358,25.39,-14.65,-1029.79,0.89,-3.04,-0.41,
8030368,40.04,-5.86,-1024.41,-0.17,-2.87,-1.30,
8050372,34.18,-6.35,-1016.11,2.40,-1.02,-1.01,
8070377,38.57,-9.77,-1019.04,-0.66,-1.28,-0.31,
8090385,47.85,0.49,-1013.67,0.87,0.64,3.02,
8110394,22.95,-9.77,-1013.18,-0.02,-0.14,-2.06,
8130401,31.25,-20.02,-1046.88,1.04,1.04,-0.96,
8150406,24.41,-1.95,-1007.81,-0.44,3.19,0.17,
8170416,29.30,-15.62,-1015.14,-0.70,0.67,0.12,
8190423,38.57,-13.18,-1015.14,3.30,-0.23,0.58,
8210433,31.25,-6.84,-1010.25,3.33,-1.63,1.85,
8230442,23.44,-4.88,-1016.60,-0.67,0.05,-1.48,
8250447,29.30,-4.88,-1020.51,1.82,1.05,-0.05,
8270452,31.74,-0.98,-1014.65,1.34,-1.53,1.91,
8290461,31.74,-17.58,-1009.77,0.32,-0.27,-0.08,
8310471,38.09,-8.79,-1008.30,1.05,0.08,-0.69,
8330478,84.47,14.16,-1086.43,-0.09,-2.18,1.91,
8350483,31.25,-6.84,-1012.70,-1.02,1.25,-1.22,
8370492,39.06,-16.11,-1009.77,0.27,1.42,-0.29,
8390500,38.57,-4.88,-1011.23,-1.10,-0.67,-2.00,
8410506,28.81,-4.39,-1022.95,1.04,1.39,0.90,
8430512,39.55,-16.11,-1013.67,0.63,-2.69,1.18,
8450517,39.55,-17.09,-1015.14,-0.72,1.39,1.37,
8470521,36.62,-4.88,-1024.41,-2.15,0.03,-3.53,
8490531,26.37,-1.95,-1014.16,-1.02,-1.91,1.31,
8510536,18.07,-12.70,-1016.60,1.56,-0.58,0.35,
8530543,22.95,-18.07,-1003.42,-0.53,0.15,-0.92,
8550550,16.11,-9.28,-1015.62,-0.35,1.02,-0.78,
8570560,27.83,-7.81,-1006.84,-1.11,-1.74,0.02,
8590568,40.04,-4.88,-1007.32,1.31,-0.26,0.61,
8610576,36.62,-2.44,-1023.44,-1.50,0.18,0.61,
8630582,33.69,-7.32,-1009.28,0.75,-0.76,1.45,
8650587,36.62,-13.18,-1015.62,3.28,-2.00,0.69,
8670597,28.81,-11.72,-1008.79,1.57,-1.36,-1.98,
8690607,37.60,-7.32,-1012.21,-0.31,0.76,0.76,
8710617,32.71,-9.77,-1007.81,0.44,-0.06,-2.06,
8730623,34.67,-11.23,-1016.11,0.69,-1.48,0.34,
8750631,35.16,-12.21,-1017.09,1.76,0.11,-0.95,
8770640,38.09,-9.28,-1005.37,-0.40,0.47,2.40,
8790648,37.60,-3.42,-1021.97,-1.66,1.22,3.27,
8810657,28.81,-4.39,-1004.39,0.82,-0.43,0.21,
8830663,34.18,-2.93,-1023.44,1.33,-0.98,2.82,
8850669,20.02,-13.67,-1013.67,-0.44,1.01,0.67,
8870674,30.76,-5.37,-1014.65,0.17,-0.03,-0.29,
8890680,33.69,-16.11,-1012.70,-0.11,1.11,-0.20,
8910684,31.74,-1.46,-1008.79,1.07,-2.96,-1.85,
8930692,29.30,-14.65,-1010.74,-1.28,-0.73,3.15,
8950698,21.97,-4.39,-1020.02,-0.69,0.31,0.95,
8970703,30.76,-5.86,-1013.67,-0.06,1.47,-3.34,
8990709,34.18,-8.30,-1018.07,-1.28,0.40,0.11,
9010713,27.83,-6.35,-1008.79,0.92,-0.93,-1.11,
9030721,32.71,-15.14,-1011.23,-1.47,0.55,-0.66,
9050731,21.97,-16.60,-1000.98,0.53,0.47,3.74,
9070740,28.81,0.00,-1002.93,-0.17,-2.56,-2.05,
9090748,25.88,3.42,-1009.77,-0.98,0.50,-1.01,
9110754,21.97,-16.60,-1025.88,0.70,1.01,-0.63,
9130763,30.27,-6.84,-1013.67,0.12,0.89,-0.24,
9150768,22.95,-10.25,-1017.09,0.85,0.49,-0.72,
9170776,31.25,-19.04,-1005.86,-0.06,-0.46,0.14,
9190784,34.67,-3.42,-1026.37,1.25,0.81,-0.82,
9210792,29.79,-3.42,-1017.09,3.10,0.60,-0.50,
9230802,30.76,-20.02,-1000.98,-1.63,1.47,-0.44,
9250810,33.20,2.44,-1008.79,-1.22,0.66,0.02,
9270817,23.44,-14.65,-1008.30,0.43,-0.15,-1.51,
9290824,41.02,-6.35,-1007.32,0.58,-3.47,-1.05,
9310830,24.90,-11.72,-1014.16,0.61,0.35,-0.63,
9330841,33.20,-21.48,-1020.51,-0.37,0.76,2.73,
9350849,31.25,-4.88,-1015.14,2.96,2.15,2.40,
9370858,45.90,-5.37,-1000.98,0.98,1.73,0.15,
9390869,32.71,-12.70,-1022.95,-0.79,0.43,-1.83,
9410877,39.06,-17.09,-1006.84,1.19,-0.31,-0.87,
9430886,37.60,-18.55,-1018.07,0.26,-1.42,-0.12,
9450896,23.93,-11.72,-1019.53,1.37,-1.68,1.45,
9470902,35.16,-8.79,-1015.62,2.09,1.04,0.08,
9490912,29.30,-2.44,-1011.72,-0.70,1.42,-2.92,
9510919,40.53,1.46,-1008.30,0.69,-1.56,-0.15,
9530925,34.67,-8.79,-1025.88,1.51,-1.07,0.44,
9550935,30.76,-5.37,-1015.14,0.08,0.09,0.06,
