micros,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,
4297918,-70.31,-9.77,1001.46,2.24,7.10,-0.90,24.30,-21.15,105.00,
4317924,-34.67,-5.86,1035.16,4.67,4.05,-3.16,24.15,-21.00,105.60,
4337933,-25.88,6.84,1052.73,0.69,3.05,-0.50,24.75,-20.70,106.05,
4357940,-21.48,-14.65,1034.18,-2.47,2.06,0.38,24.00,-22.65,104.70,
4377950,-22.95,18.55,1103.52,-3.27,-0.63,0.84,24.30,-21.90,105.45,
4397955,-34.18,8.79,1010.74,-3.95,6.00,-0.20,24.90,-21.30,105.60,
4417962,-36.62,3.42,1014.65,7.28,6.27,0.43,24.45,-22.05,106.20,
4437966,-24.90,16.60,1055.18,2.47,4.14,-3.65,24.15,-20.55,104.85,
4457976,-31.74,21.00,1083.98,-5.74,2.37,2.81,23.70,-22.20,106.35,
4477981,-32.71,-8.79,1030.27,-0.64,2.18,0.53,23.70,-21.15,106.35,
4497991,-59.57,31.74,1032.71,2.50,2.82,1.15,22.80,-22.05,104.85,
4517996,-49.80,-3.42,1005.86,4.78,-2.09,-3.71,24.00,-21.15,105.45,
4538004,-42.97,-7.32,1004.39,5.73,4.60,-2.11,24.90,-21.00,106.95,
4558012,-23.93,1.46,1017.58,2.58,7.04,-4.05,24.00,-21.15,106.80,
4578020,-22.95,3.91,1102.05,-2.92,3.36,-0.55,24.90,-22.05,105.60,
4598030,-31.25,-3.91,1060.06,-0.82,6.69,-0.89,24.30,-22.65,105.00,
4618041,-41.02,-26.37,1052.25,-4.82,4.60,1.36,24.15,-19.50,105.90,
4638051,-75.20,-42.48,1084.47,-5.25,4.69,0.18,24.45,-20.55,105.90,
5718469,139.65,35.64,-985.35,-5.56,-19.07,-5.37,4.65,3.00,18.15,
5738475,0.98,38.09,-947.27,10.21,-10.82,-2.08,3.75,6.15,18.30,
5758480,189.94,9.77,-982.91,32.38,39.86,9.77,3.30,4.20,18.15,
5778486,6.35,63.96,-823.24,23.42,45.92,5.33,4.95,3.90,19.35,
5798496,80.08,47.85,-804.69,3.95,23.25,-1.76,2.10,4.65,18.30,
5818504,96.68,5.37,-977.54,-10.81,8.61,-8.35,1.20,3.75,16.80,
5838514,212.89,-16.11,-995.12,-7.31,14.78,-2.40,0.75,4.20,18.15,
5858521,120.61,-44.92,-1021.48,-21.79,-8.15,-8.38,0.30,6.90,16.95,
5878529,237.30,-98.63,-1150.39,-18.84,-37.16,-9.95,-1.50,9.30,18.15,
5898539,189.94,-36.13,-1134.77,11.60,-26.70,2.81,-0.75,9.60,18.45,
5918546,79.59,9.28,-840.33,7.98,-9.42,-0.79,2.25,10.05,17.40,
5938551,161.13,-21.00,-979.49,-7.63,-21.04,-8.63,1.65,8.70,16.20,
5958557,104.49,-25.39,-1012.21,2.56,-16.15,-5.51,1.35,9.45,17.55,
5978564,111.82,-3.91,-874.51,-1.18,-16.67,-4.40,1.80,8.10,16.35,
5998572,94.24,-16.60,-971.19,-18.17,-31.65,-2.89,4.05,9.30,17.10,
6018578,76.66,21.97,-936.52,-0.89,-22.72,-5.40,2.70,9.00,16.95,
6038589,50.29,70.31,-962.89,-10.20,-32.20,-10.82,4.05,9.60,17.10,
6058596,45.41,24.41,-957.52,-10.58,-36.96,-14.61,3.75,12.00,15.60,
6078607,144.04,14.65,-1076.66,-6.49,-9.42,-0.81,5.10,12.90,16.35,
6098617,139.65,19.04,-1163.57,10.53,24.95,8.44,4.35,11.10,16.35,
6118629,27.83,31.74,-881.35,11.85,30.03,3.22,1.80,12.15,16.05,
6138636,143.55,5.37,-1052.73,13.40,18.32,5.02,2.55,11.40,16.05,
6158641,42.48,20.51,-1005.37,3.47,-1.42,4.78,3.15,12.00,15.60,
6178650,93.26,0.98,-1051.27,18.98,-11.39,-0.66,1.50,10.65,16.05,
6198657,-17.09,29.79,-871.09,1.42,-19.19,-5.68,2.40,9.75,16.65,
6218664,128.42,-21.00,-1077.64,-11.53,-26.93,-10.50,3.00,9.30,15.30,
6238670,118.16,-31.25,-1057.62,7.21,-13.39,1.08,5.25,10.95,16.65,
6258675,52.25,2.93,-977.05,16.63,0.63,2.03,2.25,9.60,16.05,
